original_language,overview,title,budget,revenue,runtime,release_date,popularity,vote_average,vote_count,genres
en,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",Heretic,10000000,51913394,111,2024-10-31,11.8664,6.979,2212,"['Horror', 'Thriller']"
en,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",Pride & Prejudice,28000000,124604345,127,2005-09-16,11.0088,8.06,8444,"['Drama', 'Romance']"
en,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",Expend4bles,100000000,37917985,103,2023-09-15,11.1214,6.097,1743,"['Action', 'Adventure', 'Thriller']"
en,"Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",After Everything,14000000,10644463,93,2023-09-13,11.2041,6.895,949,"['Romance', 'Drama']"
en,"Phil Broker is a former DEA agent who has gone through a crisis after his action against a biker gang went horribly wrong and it cost the life of his boss' son. He is recently widowed and is left with a 9-years-old daughter, Maddy. He decides to quit the turbulent and demanding life of thrill for Maddy's sake and retires to a small town. His daughter fights off a boy who was bullying her at school and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past history with the biker gang also enters the arena, making matters more complex. But he has a mission in his mind to protect his daughter and he is ready to pay any cost that it demands.",Homefront,22000000,51695362,100,2013-11-12,11.8882,6.943,3660,"['Action', 'Thriller']"
te,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",Devara: Part 1,31764000,54216867,175,2024-09-26,12.9206,6.941,202,"['Action', 'Drama']"
en,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,The Grinch,75000000,508600000,85,2018-11-08,10.801,6.867,4257,"['Family', 'Comedy', 'Animation']"
en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",Eternal Sunshine of the Spotless Mind,20000000,72258126,108,2004-03-19,11.4203,8.092,15748,"['Science Fiction', 'Drama', 'Romance']"
en,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",Memento,9000000,40047236,113,2000-10-11,10.9804,8.178,15609,"['Mystery', 'Thriller']"
en,"When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.",A Man Called Otto,50000000,108961677,126,2022-12-28,12.9618,7.76,3269,"['Comedy', 'Drama']"
en,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",The Twilight Saga: Breaking Dawn - Part 2,120000000,829747654,115,2012-11-13,12.5001,6.463,9159,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
en,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",Mission: Impossible - Ghost Protocol,145000000,694713380,133,2011-12-07,10.8283,7.105,10416,"['Action', 'Thriller', 'Adventure']"
ko,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",Alienoid,24500000,12109608,142,2022-07-20,10.5647,6.797,494,"['Science Fiction', 'Action', 'Fantasy', 'Adventure']"
en,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",Indiana Jones and the Dial of Destiny,294700000,383963057,155,2023-06-25,11.351,6.536,3832,"['Adventure', 'Action']"
en,"Bryan Mills, a former government operative, is trying to reconnect with his teenage daughter Kim. After reluctantly agreeing with his ex-wife to let Kim go to Paris on vacation with a friend, his worst nightmare comes true. While on the phone with his daughter shortly after she arrives in Paris, she and her friend are abducted by a gang of human traffickers. Working against the clock, Bryan relies on his extensive training and skills to track down the ruthless gang that abducted her and launch a one-man war to rescue his daughter.",Taken,25000000,226830568,94,2008-02-18,10.9363,7.399,11692,"['Action', 'Thriller']"
en,"A murder in Paris’ Louvre Museum and cryptic clues in some of Leonardo da Vinci’s most famous paintings lead to the discovery of a religious mystery. For 2,000 years a secret society closely guards information that — should it come to light — could rock the very foundations of Christianity.",The Da Vinci Code,125000000,760006945,149,2006-05-17,10.9209,6.729,9732,"['Thriller', 'Mystery']"
en,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",Toy Story 4,175000000,1073841394,100,2019-06-19,10.5111,7.47,10190,"['Family', 'Comedy', 'Animation', 'Adventure']"
en,"When Hong Kong Inspector Lee is summoned to Los Angeles to investigate a kidnapping, the FBI doesn't want any outside help and assigns cocky LAPD Detective James Carter to distract Lee from the case. Not content to watch the action from the sidelines, Lee and Carter form an unlikely partnership and investigate the case themselves.",Rush Hour,33000000,244721064,97,1998-09-18,11.4757,7.056,5359,"['Action', 'Comedy', 'Crime']"
en,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",Star Wars: The Force Awakens,245000000,2068223624,136,2015-12-15,10.9108,7.255,20021,"['Adventure', 'Action', 'Science Fiction']"
en,"An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",E.T. the Extra-Terrestrial,10500000,797307407,115,1982-06-11,10.7264,7.513,11600,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']"
en,Bella Swan and Edward Cullen's honeymoon phase is abruptly disrupted by betrayals and unforeseen tragedies that endanger their world.,The Twilight Saga: Breaking Dawn - Part 1,110000000,712171856,117,2011-11-16,11.0828,6.196,9049,"['Adventure', 'Fantasy', 'Romance']"
en,"When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",Brother Bear,128000000,250397798,85,2003-10-23,11.0911,7.269,5612,"['Adventure', 'Animation', 'Family']"
en,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",Thor: Ragnarok,180000000,855301806,131,2017-10-02,10.3086,7.583,21466,"['Action', 'Adventure', 'Science Fiction']"
en,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Furious 7,190000000,1515400000,139,2015-04-01,11.0961,7.224,10990,"['Action', 'Crime', 'Thriller']"
en,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",Shark Tale,75000000,367300000,90,2004-09-20,10.2693,6.0,6515,"['Animation', 'Action', 'Comedy', 'Family']"
en,"True-crime writer Ellison Oswald is in a slump; he hasn't had a best seller in more than 10 years and is becoming increasingly desperate for a hit. So, when he discovers the existence of a snuff film showing the deaths of a family, he vows to solve the mystery. He moves his own family into the victims' home and gets to work. However, when old film footage and other clues hint at the presence of a supernatural force, Ellison learns that living in the house may be fatal.",Sinister,3000000,82515113,110,2012-03-29,11.4053,6.866,5799,"['Horror', 'Thriller', 'Mystery']"
en,"Kyrah and Isaac were once the leaders of a multinational special forces group called Shadow Force. They broke the rules by falling in love, and in order to protect their son, they go underground. With a large bounty on their heads, and the vengeful Shadow Force hot on their trail, one family's fight becomes all-out war.",Shadow Force,40000000,5,103,2025-05-01,11.5199,6.278,189,"['Action', 'Thriller']"
en,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.",Final Destination 2,26000000,90941129,90,2003-01-31,10.704,6.301,4580,"['Horror', 'Mystery']"
en,"Skeptical young detective Ichabod Crane gets transferred to the hamlet of Sleepy Hollow, New York, where he is tasked with investigating the decapitations of three people – murders the townsfolk attribute to a legendary specter, The Headless Horseman.",Sleepy Hollow,100000000,206071526,105,1999-11-19,12.4612,7.186,7097,"['Fantasy', 'Thriller', 'Mystery', 'Horror']"
en,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",Memoir of a Snail,4350000,7,94,2024-10-17,11.046,8.069,671,"['Animation', 'Drama', 'Comedy']"
en,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,Despicable Me 2,76000000,970766005,98,2013-06-26,11.5561,6.936,11678,"['Animation', 'Comedy', 'Family']"
en,"Post-apocalyptic survivors find refuge in the Rocky Mountains to hide from giant, insect-like creatures that can't live above 8,000 feet. However, when one of them needs life-saving supplies, they risk it all to venture into the danger zone.",Elevation,18000000,3300000,91,2024-11-07,12.0312,6.46,820,"['Action', 'Science Fiction', 'Thriller']"
en,"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.",Ice Age: The Meltdown,80000000,660998756,91,2006-03-29,10.8408,6.715,10072,"['Animation', 'Family', 'Comedy', 'Adventure']"
en,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,John Wick,20000000,88761661,101,2014-10-22,10.1468,7.453,20121,"['Action', 'Thriller']"
en,"After lying in a coma for a year, Michael Myers awakens and stalks his way back to his small hometown in Illinois, intent on killing his niece, Jamie, who has been confined to a mental institution since his last attempt to slay her.",Halloween 5: The Revenge of Michael Myers,3000000,11642254,98,1989-10-12,10.7903,5.31,1272,"['Horror', 'Thriller']"
en,"Valentín, a political prisoner, shares a cell with Molina, a window dresser convicted of public indecency. The two form an unlikely bond as Molina recounts the plot of a Hollywood musical starring his favorite silver screen diva, Ingrid Luna.",Kiss of the Spider Woman,34000000,902676,128,2025-10-09,10.1822,7.5,8,"['Romance', 'Music', 'Drama', 'Thriller']"
en,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,How the Grinch Stole Christmas,123000000,345800000,104,2000-11-17,10.8033,6.773,7906,"['Family', 'Comedy']"
en,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",Love Hurts,18000000,17669058,83,2025-02-06,10.2048,5.754,278,"['Action', 'Comedy', 'Romance']"
en,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",Mission: Impossible - Fallout,178000000,791658205,147,2018-07-25,11.3501,7.4,8771,"['Action', 'Adventure']"
en,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",Maze Runner: The Scorch Trials,61000000,312296056,131,2015-09-09,10.6988,6.734,10736,"['Science Fiction', 'Action', 'Thriller', 'Adventure']"
en,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",Jumanji: The Next Level,125000000,801693929,123,2019-12-04,11.7782,6.887,9046,"['Adventure', 'Comedy', 'Fantasy']"
en,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",Soul,150000000,121977511,101,2020-12-25,11.1223,8.104,10975,"['Animation', 'Family', 'Comedy', 'Fantasy', 'Drama']"
en,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",Star Wars: The Rise of Skywalker,489900000,1074144248,142,2019-12-18,9.8349,6.282,10402,"['Adventure', 'Action', 'Science Fiction']"
en,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",Teenage Mutant Ninja Turtles: Mutant Mayhem,75000000,180513586,100,2023-07-31,10.1956,7.209,1483,"['Animation', 'Comedy', 'Action', 'Science Fiction']"
en,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",The Wizard of Oz,2777000,33754967,102,1939-08-15,11.5403,7.6,5867,"['Adventure', 'Fantasy', 'Family']"
en,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",Get Out,4500000,255407969,104,2017-02-24,10.8527,7.62,18209,"['Mystery', 'Thriller', 'Horror']"
en,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",9 Songs,1000000,1574623,69,2004-07-16,11.1791,5.6,543,"['Drama', 'Music', 'Romance']"
en,"A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late.",Free Guy,110000000,331526598,115,2021-08-11,11.721,7.465,9341,"['Comedy', 'Adventure', 'Science Fiction']"
en,"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",Boogie Nights,15000000,43101594,156,1997-10-10,10.4571,7.63,3356,['Drama']
en,"Lewis, a brilliant young inventor, is keen on creating a time machine to find his mother, who abandoned him in an orphanage. Things take a turn when he meets Wilbur Robinson and his family.",Meet the Robinsons,150000000,169332978,95,2007-03-23,11.1017,6.9,3017,"['Animation', 'Comedy', 'Family']"
ja,"When Sosuke, a young boy who lives on a clifftop overlooking the sea, rescues a stranded goldfish named Ponyo, he discovers more than he bargained for. Ponyo is a curious, energetic young creature who yearns to be human, but even as she causes chaos around the house, her father, a powerful sorcerer, schemes to return Ponyo to the sea.",Ponyo,34000000,202404009,100,2008-07-19,10.7975,7.75,4570,"['Animation', 'Fantasy', 'Family']"
en,"A highly intelligent chimpanzee named Caesar has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caesar decides to revolt against those who have harmed him.",Rise of the Planet of the Apes,93000000,481800873,105,2011-08-03,10.6476,7.337,12366,"['Thriller', 'Action', 'Drama', 'Science Fiction']"
en,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",Wreck-It Ralph,165000000,471222889,101,2012-11-01,10.9577,7.351,12737,"['Family', 'Animation', 'Comedy', 'Adventure']"
en,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",Black Panther: Wakanda Forever,250000000,859102154,162,2022-11-09,11.1763,7.0,7068,"['Action', 'Adventure', 'Science Fiction']"
en,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",The Menu,35000000,79628200,107,2022-11-17,10.0684,7.173,5650,"['Comedy', 'Horror', 'Thriller']"
en,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",About Time,12000000,87100449,123,2013-09-04,10.321,7.913,8914,"['Drama', 'Romance', 'Fantasy']"
en,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",American Psycho,7000000,34300000,102,2000-04-13,12.1558,7.408,11659,"['Thriller', 'Drama', 'Crime']"
ko,"During the late 1980s, two detectives in a South Korean province attempt to solve series of gruesome rape-and-murder of young women.",Memories of Murder,2800000,26000000,131,2003-04-25,10.2183,8.055,4249,"['Crime', 'Drama', 'Thriller']"
en,"Despite pulling off one of the biggest heists in Las Vegas history and splitting the $160 million take, each of the infamous Ocean's crew have tried to go straight, lay low and live a legit life ... but that's proven to be a challenge. Casino owner Terry Benedict demands that Danny Ocean return the money, plus millions more in interest. Unable to come up the cash, the crew is forced to come together to pull off another series of heists, this time in Rome, Paris, and Amsterdam – but a Europol agent is hot on their heels.",Ocean's Twelve,110000000,362744280,125,2004-12-09,11.0172,6.563,7581,"['Thriller', 'Crime']"
en,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",There Will Be Blood,25000000,77208711,158,2007-12-26,10.4862,8.1,7037,['Drama']
en,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,Kingsman: The Secret Service,81000000,414351546,129,2015-01-24,10.5841,7.623,17332,"['Crime', 'Comedy', 'Action', 'Adventure']"
en,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",Ant-Man,130000000,519311965,117,2015-07-14,11.1574,7.068,20378,"['Science Fiction', 'Action', 'Adventure']"
en,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Blade Runner,28000000,41722424,118,1982-06-25,9.6719,7.941,14431,"['Science Fiction', 'Drama', 'Thriller']"
en,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process.",Scary Movie 3,48000000,220673217,84,2003-10-24,10.6004,5.968,4268,['Comedy']
en,"Big Nick is back on the hunt in Europe and closing in on Donnie, who is embroiled in the treacherous and unpredictable world of diamond thieves and the infamous Panther mafia, as they plot a massive heist of the world's largest diamond exchange.",Den of Thieves 2: Pantera,40000000,54586117,131,2025-01-08,11.6435,6.637,651,"['Action', 'Crime', 'Thriller']"
en,"When an innovative modern architect flees post-war Europe, he is given the opportunity to rebuild his legacy. Set during the dawn of the modern United States (in Pennsylvania), his wife joins him, and their lives are forever changed by a demanding, wealthy patron.",The Brutalist,9600000,50145227,215,2024-12-20,12.1177,6.968,1355,"['Drama', 'History']"
en,"High school senior Wendy's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself — which seeks out those who escaped their fate.",Final Destination 3,25000000,118890272,92,2006-02-09,10.5234,6.147,4340,"['Horror', 'Mystery']"
en,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",Fast & Furious Presents: Hobbs & Shaw,200000000,760098996,137,2019-07-31,11.4789,6.847,7521,"['Action', 'Adventure', 'Comedy']"
en,"As humanity picks up the pieces after the battle of Chicago, a shadowy group reveals itself in an attempt to control the direction of history…while an ancient, powerful new menace sets Earth in its crosshairs. With help from Cade Yeager, Optimus Prime and the Autobots rise to meet their most fearsome challenge yet.",Transformers: Age of Extinction,210000000,1104054072,165,2014-06-25,10.7313,5.951,8489,"['Science Fiction', 'Action', 'Adventure']"
en,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",Godzilla: King of the Monsters,170000000,387300138,132,2019-05-29,10.5126,6.693,6451,"['Science Fiction', 'Action']"
en,"Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten.",Saltburn,20000000,21013738,131,2023-11-16,10.8913,6.973,2664,"['Drama', 'Comedy', 'Thriller']"
en,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",The Equalizer 3,70000000,191067560,109,2023-08-30,11.6335,7.294,3448,"['Action', 'Thriller', 'Crime']"
en,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.",Horrible Bosses 2,42000000,107645357,108,2014-11-12,10.5662,6.18,4260,['Comedy']
en,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",The Godfather Part III,54000000,136766062,162,1990-12-25,11.3706,7.419,6552,"['Crime', 'Drama', 'Thriller']"
en,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.",Death Race,45000000,76000000,105,2008-08-22,10.3281,6.285,3953,"['Action', 'Thriller', 'Science Fiction']"
en,Nothing is what it seems when a twisted one-night stand spirals into a serial killer’s vicious murder spree.,Strange Darling,4000000,4853595,98,2024-08-14,9.8089,6.911,742,"['Crime', 'Horror', 'Thriller']"
en,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",Star Wars: The Last Jedi,300000000,1332698830,152,2017-12-13,10.4532,6.766,15857,"['Adventure', 'Action', 'Science Fiction']"
en,Quan is a humble London businessman whose long-buried past erupts in a revenge-fueled vendetta when the only person left for him to love – his teenage daughter – dies in an Irish Republican Army car bombing. His relentless search to find the terrorists leads to a cat-and-mouse conflict with a British government official whose own past may hold the clues to the identities of the elusive killers.,The Foreigner,35000000,145374099,113,2017-09-28,10.247,6.971,2787,"['Action', 'Thriller', 'Crime']"
en,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",Groundhog Day,14600000,71108778,101,1993-02-11,9.7881,7.618,8453,"['Romance', 'Fantasy', 'Drama', 'Comedy']"
en,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",Wonka,125000000,634502312,117,2023-12-06,11.0308,7.057,4092,"['Comedy', 'Family', 'Fantasy']"
en,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",Speak No Evil,15000000,76756109,110,2024-09-11,10.411,7.18,1759,"['Horror', 'Thriller']"
en,"A group of criminals kidnap a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with no normal little girl.",Abigail,28000000,43015969,109,2024-04-16,10.4323,6.719,1739,"['Horror', 'Thriller']"
en,"The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise but is actually a dark, dangerous world.",Alien: Covenant,97000000,240891763,122,2017-05-09,10.1062,6.159,9084,"['Horror', 'Science Fiction', 'Thriller']"
en,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",Mulholland Drive,15000000,20289986,147,2001-06-06,10.5107,7.804,6701,"['Thriller', 'Drama', 'Mystery']"
en,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",2012,200000000,791217826,158,2009-10-10,9.6127,5.863,12358,"['Action', 'Adventure', 'Science Fiction']"
en,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",Novocaine,18000000,34536061,110,2025-03-12,11.1392,6.9,1214,"['Action', 'Comedy', 'Thriller']"
en,"Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter.",Lolita,62000000,1100000,137,1997-09-27,10.6873,7.128,1886,"['Drama', 'Romance']"
